textbox22
generated on 06/05/2021 00:37:45 UTC

HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,53,2020-12-28,2021-01-03,All,25,,714653,,3.50,,,,,,,,366,6695,,5.47,,30,,,48,7,,,45439,,5489933,,827.68,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,53,2020-12-28,2021-01-03,All,76,,215840,,35.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,53,2020-12-28,2021-01-03,All,,,,,,,,,,,,,,,,,,,,,,,,,1001,,378884,,264.20,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,53,2020-12-28,2021-01-03,All,,,,,,,,,,,,,3,308,,0.97,,3,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,53,2020-12-28,2021-01-03,All,190,,301584,,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,53,2020-12-28,2021-01-03,All,2045,,1607036,,127.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,53,2020-12-28,2021-01-03,All,2,,54092338,,0.00,,,,,,,,48,1116,,4.30,,41,,,41,9,,,278107,,54092338,,514.13,,,,,,1,,1,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,53,2020-12-28,2021-01-03,All,5824,,7258753,,80.23,,,,,,,,9,433,,2.08,,0,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,53,2020-12-28,2021-01-03,All,3,,329213,,0.91,,,,,,,,,,,,,,,,,,,,1050,,329213,,318.94,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,53,2020-12-28,2021-01-03,All,,,,,,,,,,,,,,,,,,,,,,,,,4856,,1156190,,420.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,53,2020-12-28,2021-01-03,All,26,,84339,,30.83,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,53,2020-12-28,2021-01-03,All,277,,4783812,,5.79,,,,,,,,,,,,,,,,,,,,12974,,4783812,,271.21,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,53,2020-12-28,2021-01-03,All,1,37,,27.03,,,,,,,,,,,,,,,,,,,,,3,37,,81.08,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,53,2020-12-28,2021-01-03,All,1,,80311,,1.25,,,,,,,,,,,,,,,,,,,,386,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,53,2020-12-28,2021-01-03,All,26,,2794207,,0.93,,,,,,,,,,,,,,,,,,,,6338,,2794207,,226.83,,,,,,1,,1,
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,53,2020-12-28,2021-01-03,All,24,,2075301,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,53,2020-12-28,2021-01-03,All,0,,368262,,0.00,,,,,,,,66,1784,980875,3.70,6.73,6,,,6,2,,,215,,368262,,58.38,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Malta,2020,53,2020-12-28,2021-01-03,All,16,485,,32.99,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,53,2020-12-28,2021-01-03,All,0,,61714,,0.00,,,,,,,,,,,,,,,,,,,,323,,61714,,523.38,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2020,53,2020-12-28,2021-01-03,All,101,,53441,,188.99,,,,,,,,145,683,,21.23,,19,,,38,,,,,,,,,,,,,,1,,1,2
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,53,2020-12-28,2021-01-03,All,110,,174568,,63.01,,,,,,,,,,,,,,,,,,,,2945,,1328976,,221.60,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,53,2020-12-28,2021-01-03,All,16014,,64812052,,24.71,,,,,,,,,,,,,,,,,,,,42094,,64812052,,64.95,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,53,2020-12-28,2021-01-03,All,,,,,,,,,,,,,,,,,,,,,,,,,206,,91127,,226.06,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2020,53,2020-12-28,2021-01-03,All,182,,4941731,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Montenegro,2020,53,2020-12-28,2021-01-03,All,1,,620029,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Ukraine,2020,53,2020-12-28,2021-01-03,All,29,,39140,,74.09,,,,,,,,180,509,0,35.36,,5,,,5,1,,,111291,,37995277,,292.91,,,,,,1,,1,
Northern hemishere,Europe,EUR,Western Asia,Azerbaijan,2020,53,2020-12-28,2021-01-03,All,33,,2135,,1545.67,,,,,,,,2,131,0,1.53,,0,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Albania,2020,53,2020-12-28,2021-01-03,All,0,,,,,,,,,,,,215,215,2800138,100.00,7.68,215,,,215,178,,,5862,,2800138,,209.35,,,,,,1,,1,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2020,53,2020-12-28,2021-01-03,All,0,,175109,,0.00,,,,,,,,20,276,0,7.25,,3,,,3,3,,,2035,,2972732,,68.46,,,,,,1,,1,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2020,53,2020-12-28,2021-01-03,All,28,,53733,,52.11,,,,,,,,,,,,,,,,,,,,254,,53733,,472.71,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2020,53,2020-12-28,2021-01-03,All,478,,2059675,,23.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Croatia,2020,53,2020-12-28,2021-01-03,All,0,,4124531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2020,53,2020-12-28,2021-01-03,All,72,,50440,,142.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2020,53,2020-12-28,2021-01-03,All,14,,130580,,10.72,,,,,,,,,,,,,,,,,,,,1738,,1442912,,120.45,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Portugal,2020,53,2020-12-28,2021-01-03,All,1,,16739,,5.97,,,,,,,,,,,,,,,,,,,,1,,16739,,5.97,,,,,,2,,3,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2020,53,2020-12-28,2021-01-03,All,677,,911299,,74.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,52,2020-12-21,2020-12-27,All,,,,,,,,,,,,,,,,,,,,,,,,,1209,,378884,,319.10,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,52,2020-12-21,2020-12-27,All,,,,,,,,,,,,,1,401,,0.25,,3,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,52,2020-12-21,2020-12-27,All,35,,714653,,4.90,,,,,,,,393,5289,,7.43,,32,,,48,5,,,57199,,5489933,,1041.89,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,52,2020-12-21,2020-12-27,All,79,,200663,,39.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,52,2020-12-21,2020-12-27,All,2014,,1610582,,125.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,52,2020-12-21,2020-12-27,All,3,,414481,,0.72,,,,,,,,,,,,,,,,,,,,1424,,414481,,343.56,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,52,2020-12-21,2020-12-27,All,6992,,7258753,,96.33,,,,,,,,9,718,,1.25,,0,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,52,2020-12-21,2020-12-27,All,4,,54092338,,0.01,,,,,,,,114,2131,,5.35,,82,,,80,8,,,405146,,54092338,,748.99,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,52,2020-12-21,2020-12-27,All,245,,4767133,,5.14,,,,,,,,,,,,,,,,,,,,14016,,4767133,,294.01,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,52,2020-12-21,2020-12-27,All,,,,,,,,,,,,,,,,,,,,,,,,,6796,,1253874,,542.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,52,2020-12-21,2020-12-27,All,51,,103271,,49.38,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,52,2020-12-21,2020-12-27,All,19,,2794207,,0.68,,,,,,,,,,,,,,,,,,,,7069,,2794207,,252.99,,,,,,1,,1,
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,52,2020-12-21,2020-12-27,All,4,185,,21.62,,,,,,,,,,,,,,,,,,,,,28,185,,151.35,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,52,2020-12-21,2020-12-27,All,6,,90942,,6.60,,,,,,,,,,,,,,,,,,,,462,,90942,,508.02,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,52,2020-12-21,2020-12-27,All,0,,397549,,0.00,,,,,,,,82,1902,980875,4.31,8.36,9,,,9,4,,,298,,397549,,74.96,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Malta,2020,52,2020-12-21,2020-12-27,All,16,455,,35.16,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,52,2020-12-21,2020-12-27,All,32,,2075301,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,52,2020-12-21,2020-12-27,All,0,,59536,,0.00,,,,,,,,,,,,,,,,,,,,286,,59536,,480.38,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Slovakia,2020,52,2020-12-21,2020-12-27,All,256,,1506647,,16.99,,,,,,,,,,,,,,,,,,,,6042,,1506647,,401.02,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,52,2020-12-21,2020-12-27,All,,,,,,,,,,,,,,,,,,,,,,,,,175,,123057,,142.21,,,,,,,0,,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,52,2020-12-21,2020-12-27,All,10881,,64812052,,16.79,,,,,,,,,,,,,,,,,,,,35746,,64812052,,55.15,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,52,2020-12-21,2020-12-27,All,107,,174568,,61.29,,,,,,,,,,,,,,,,,,,,1737,,1328976,,130.70,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Montenegro,2020,52,2020-12-21,2020-12-27,All,0,,620029,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
